,Date,Time,Temp,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
210,2016-01-09,11:51 AM,50.0,,42.1,74%,30.18,10.0,East,12.7,,N/A,,Overcast
211,2016-01-09,12:51 PM,52.0,,42.1,69%,30.16,10.0,East,13.8,,0.01,,Mostly Cloudy
212,2016-01-09,1:51 PM,53.1,,42.1,66%,30.13,10.0,East,11.5,,N/A,,Mostly Cloudy
213,2016-01-09,2:51 PM,50.0,,42.1,74%,30.13,10.0,East,13.8,,N/A,,Overcast
214,2016-01-09,3:51 PM,48.9,,42.1,77%,30.14,10.0,East,9.2,,N/A,,Overcast
215,2016-01-09,4:43 PM,48.2,,42.8,82%,30.15,10.0,East,15.0,,N/A,,Overcast
216,2016-01-09,4:51 PM,48.0,,43.0,83%,30.15,10.0,East,15.0,20.7,N/A,,Overcast
217,2016-01-09,5:43 PM,48.2,,42.8,82%,30.15,10.0,East,13.8,,N/A,,Overcast
218,2016-01-09,5:51 PM,48.0,,43.0,83%,30.15,10.0,East,13.8,,N/A,,Overcast
219,2016-01-09,6:04 PM,48.2,,42.8,82%,30.15,10.0,East,12.7,,N/A,,Overcast
220,2016-01-09,6:51 PM,48.0,,43.0,83%,30.15,10.0,East,11.5,,N/A,,Overcast
221,2016-01-09,7:07 PM,48.2,,42.8,82%,30.15,10.0,East,11.5,,N/A,,Overcast
222,2016-01-09,7:51 PM,48.0,,43.0,83%,30.15,10.0,East,9.2,,N/A,,Overcast
223,2016-01-09,8:51 PM,48.9,,44.1,83%,30.14,10.0,East,13.8,,N/A,,Overcast
224,2016-01-09,9:25 PM,48.2,,44.6,87%,30.12,10.0,East,16.1,,N/A,,Overcast
225,2016-01-09,9:51 PM,48.9,,45.0,86%,30.11,10.0,ENE,15.0,,N/A,,Overcast
